Study_area,Date,Hare_color,Cluster,Elevation,Lat,Lon,day,Year,isSnow
Canada,2014-10-08T00:00:00Z,brown,1,1242,50.91,-116.04,281,2014,Out of season
Canada,2015-01-13T00:00:00Z,white,1,1242,50.91,-116.04,13,2015,In season
Canada,2015-01-23T00:00:00Z,white,1,1242,50.91,-116.04,23,2015,In season
Canada,2012-11-15T00:00:00Z,white,2,1730,51.23,-115.67,320,2012,In season
Canada,2012-11-22T00:00:00Z,white,2,1730,51.23,-115.67,327,2012,In season
Canada,2012-11-27T00:00:00Z,white,2,1730,51.23,-115.67,332,2012,In season
Canada,2012-11-29T00:00:00Z,white,2,1730,51.23,-115.67,334,2012,In season
Canada,2012-11-30T00:00:00Z,white,2,1730,51.23,-115.67,335,2012,In season
Canada,2012-12-07T00:00:00Z,white,2,1730,51.23,-115.67,342,2012,In season
Canada,2012-12-09T00:00:00Z,white,2,1730,51.23,-115.67,344,2012,In season
Canada,2012-12-10T00:00:00Z,white,2,1730,51.23,-115.67,345,2012,In season
Canada,2012-12-13T00:00:00Z,white,2,1730,51.23,-115.67,348,2012,In season
Canada,2012-12-16T00:00:00Z,white,2,1730,51.23,-115.67,351,2012,In season
Canada,2012-12-17T00:00:00Z,white,2,1730,51.23,-115.67,352,2012,In season
Canada,2013-01-20T00:00:00Z,white,2,1730,51.23,-115.67,20,2013,In season
Canada,2013-02-14T00:00:00Z,white,2,1730,51.23,-115.67,45,2013,In season
Canada,2013-03-12T00:00:00Z,white,2,1730,51.23,-115.67,71,2013,In season
Canada,2013-03-15T00:00:00Z,white,2,1730,51.23,-115.67,74,2013,In season
Canada,2013-04-11T00:00:00Z,white,2,1730,51.23,-115.67,101,2013,In season
Canada,2012-05-29T00:00:00Z,brown,3,1402,51.17,-115.66,150,2012,Out of season
Canada,2012-05-30T00:00:00Z,brown,3,1402,51.17,-115.66,151,2012,Out of season
Canada,2012-06-20T00:00:00Z,brown,3,1402,51.17,-115.66,172,2012,Out of season
Canada,2012-06-27T00:00:00Z,brown,3,1402,51.17,-115.66,179,2012,Out of season
Canada,2012-07-04T00:00:00Z,brown,3,1402,51.17,-115.66,186,2012,Out of season
NewEngland,2015-05-08T00:00:00Z,molting,2001,720.8560181,45.3,-71.09,128,2015,Out of season
NewEngland,2015-01-18T00:00:00Z,white,2001,704.882019,45.3,-71.09,18,2015,In season
NewEngland,2015-03-26T00:00:00Z,white,2001,704.882019,45.3,-71.09,85,2015,In season
NewEngland,2015-04-08T00:00:00Z,white,2001,704.882019,45.3,-71.09,98,2015,In season
NewEngland,2015-05-02T00:00:00Z,molting,2001,704.882019,45.3,-71.09,122,2015,In season
NewEngland,2015-07-18T00:00:00Z,brown,2001,704.882019,45.3,-71.09,199,2015,Out of season
NewEngland,2015-08-27T00:00:00Z,brown,2001,704.882019,45.3,-71.09,239,2015,Out of season
NewEngland,2015-08-31T00:00:00Z,brown,2001,704.882019,45.3,-71.09,243,2015,Out of season
NewEngland,2015-09-02T00:00:00Z,brown,2001,704.882019,45.3,-71.09,245,2015,Out of season
